sensor_id,date,cluster
VDS0019,2018-04-11,2
VDS0019,2018-04-12,2
VDS0019,2018-04-13,1
VDS0019,2018-04-16,1
VDS0019,2018-04-17,2
VDS0019,2018-04-18,2
VDS0019,2018-04-19,0
VDS0019,2018-04-20,2
VDS0019,2018-04-23,1
VDS0019,2018-04-24,2
VDS0019,2018-04-25,0
VDS0019,2018-04-26,2
VDS0019,2018-04-27,2
VDS0019,2018-04-30,2
VDS0020,2018-02-01,2
VDS0020,2018-02-02,2
VDS0020,2018-02-05,2
VDS0020,2018-02-06,1
VDS0020,2018-02-07,2
VDS0020,2018-02-08,2
VDS0020,2018-02-09,2
VDS0020,2018-02-12,2
VDS0020,2018-02-13,2
VDS0020,2018-02-14,2
VDS0020,2018-02-15,1
VDS0020,2018-02-16,2
VDS0020,2018-02-19,2
VDS0020,2018-02-20,2
VDS0020,2018-02-21,2
VDS0020,2018-02-22,1
VDS0020,2018-02-23,2
VDS0020,2018-02-26,2
VDS0020,2018-02-27,1
VDS0020,2018-02-28,1
VDS0020,2018-03-01,1
VDS0020,2018-03-02,2
VDS0020,2018-03-05,2
VDS0020,2018-03-06,2
VDS0020,2018-03-07,1
VDS0020,2018-03-08,1
VDS0020,2018-03-09,1
VDS0020,2018-03-12,2
VDS0020,2018-03-13,2
VDS0020,2018-03-14,1
VDS0020,2018-03-15,1
VDS0020,2018-03-16,2
VDS0020,2018-03-19,2
VDS0020,2018-03-20,1
VDS0020,2018-03-21,1
VDS0020,2018-03-22,2
VDS0020,2018-03-23,2
VDS0020,2018-03-26,2
VDS0020,2018-03-27,1
VDS0020,2018-03-28,1
VDS0020,2018-03-29,1
VDS0020,2018-03-30,1
VDS0020,2018-04-02,1
VDS0020,2018-04-03,1
VDS0020,2018-04-04,2
VDS0020,2018-04-05,1
VDS0020,2018-04-06,2
VDS0020,2018-04-09,2
VDS0020,2018-04-10,1
VDS0020,2018-04-11,2
VDS0020,2018-04-12,1
VDS0020,2018-04-13,1
VDS0020,2018-04-16,1
VDS0020,2018-04-17,1
VDS0020,2018-04-18,1
VDS0020,2018-04-19,1
VDS0020,2018-04-20,1
VDS0020,2018-04-23,2
VDS0020,2018-04-24,2
VDS0020,2018-04-25,1
VDS0020,2018-04-26,1
VDS0020,2018-04-27,0
VDS0020,2018-04-30,2
VDS0021,2018-02-01,1
VDS0021,2018-02-02,1
VDS0021,2018-02-05,2
VDS0021,2018-02-06,2
VDS0021,2018-02-07,2
VDS0021,2018-02-08,2
VDS0021,2018-02-09,1
VDS0021,2018-02-12,2
VDS0021,2018-02-13,2
VDS0021,2018-02-14,2
VDS0021,2018-02-15,1
VDS0021,2018-02-16,2
VDS0021,2018-02-19,2
VDS0021,2018-02-20,1
VDS0021,2018-02-21,1
VDS0021,2018-02-22,1
VDS0021,2018-02-23,2
VDS0021,2018-02-26,1
VDS0021,2018-02-27,1
VDS0021,2018-02-28,0
VDS0021,2018-03-01,2
VDS0021,2018-03-02,1
VDS0021,2018-03-05,2
VDS0021,2018-03-06,1
VDS0021,2018-03-07,1
VDS0021,2018-03-08,2
VDS0021,2018-03-09,1
VDS0021,2018-03-12,2
VDS0021,2018-03-13,1
VDS0021,2018-03-14,1
VDS0021,2018-03-15,2
VDS0021,2018-03-16,2
VDS0021,2018-03-19,2
VDS0021,2018-03-20,1
VDS0021,2018-03-21,2
VDS0021,2018-03-22,2
VDS0021,2018-03-23,2
VDS0021,2018-03-26,1
VDS0021,2018-03-27,1
VDS0021,2018-03-28,1
VDS0021,2018-03-29,1
VDS0021,2018-03-30,1
VDS0021,2018-04-02,2
VDS0021,2018-04-03,1
VDS0021,2018-04-04,1
VDS0021,2018-04-05,2
VDS0021,2018-04-06,2
VDS0021,2018-04-09,1
VDS0021,2018-04-10,1
VDS0021,2018-04-11,2
VDS0021,2018-04-12,1
VDS0021,2018-04-13,1
VDS0021,2018-04-16,1
VDS0021,2018-04-17,1
VDS0021,2018-04-18,1
VDS0021,2018-04-19,0
VDS0021,2018-04-20,1
VDS0021,2018-04-23,2
VDS0021,2018-04-24,2
VDS0021,2018-04-25,1
VDS0021,2018-04-26,1
VDS0021,2018-04-27,1
VDS0021,2018-04-30,2
VDS0022,2018-02-01,0
VDS0022,2018-02-02,0
VDS0022,2018-02-05,0
VDS0022,2018-02-06,0
VDS0022,2018-02-07,2
VDS0022,2018-02-08,0
VDS0022,2018-02-09,0
VDS0022,2018-02-12,2
VDS0022,2018-02-13,2
VDS0022,2018-02-14,0
VDS0022,2018-02-15,0
VDS0022,2018-02-16,1
VDS0022,2018-02-19,0
VDS0022,2018-02-20,0
VDS0022,2018-02-21,0
VDS0022,2018-02-22,0
VDS0022,2018-02-23,0
VDS0022,2018-02-26,0
VDS0022,2018-02-27,0
VDS0022,2018-02-28,0
VDS0022,2018-03-01,1
VDS0022,2018-03-02,0
VDS0022,2018-03-05,2
VDS0022,2018-03-06,0
VDS0022,2018-03-07,0
VDS0022,2018-03-08,1
VDS0022,2018-03-09,0
VDS0022,2018-03-12,0
VDS0022,2018-03-13,0
VDS0022,2018-03-14,0
VDS0022,2018-03-15,0
VDS0022,2018-03-16,0
VDS0022,2018-03-19,0
VDS0022,2018-03-20,0
VDS0022,2018-03-21,1
VDS0022,2018-03-22,1
VDS0022,2018-03-23,0
VDS0022,2018-03-26,0
VDS0022,2018-03-27,0
VDS0022,2018-03-28,0
VDS0022,2018-03-29,0
VDS0022,2018-03-30,0
VDS0022,2018-04-02,0
VDS0022,2018-04-03,0
VDS0022,2018-04-04,0
VDS0022,2018-04-05,0
VDS0022,2018-04-06,2
VDS0022,2018-04-09,0
VDS0022,2018-04-10,0
VDS0022,2018-04-11,0
VDS0022,2018-04-12,0
VDS0022,2018-04-13,0
VDS0022,2018-04-16,0
VDS0022,2018-04-17,0
VDS0022,2018-04-18,0
VDS0022,2018-04-19,0
VDS0022,2018-04-20,0
VDS0022,2018-04-23,1
VDS0022,2018-04-24,0
VDS0022,2018-04-25,0
VDS0022,2018-04-26,0
VDS0022,2018-04-27,0
VDS0022,2018-04-30,0
VDS0023,2018-02-01,0
VDS0023,2018-02-02,0
VDS0023,2018-02-05,0
VDS0023,2018-02-06,1
VDS0023,2018-02-07,0
VDS0023,2018-02-08,0
VDS0023,2018-02-09,0
VDS0023,2018-02-12,0
VDS0023,2018-02-13,1
VDS0023,2018-02-14,0
VDS0023,2018-02-15,0
VDS0023,2018-02-16,0
VDS0023,2018-02-19,0
VDS0023,2018-02-20,1
VDS0023,2018-02-21,0
VDS0023,2018-02-22,0
VDS0023,2018-02-23,0
VDS0023,2018-02-26,0
VDS0023,2018-02-27,0
VDS0023,2018-02-28,0
VDS0023,2018-03-01,2
VDS0023,2018-03-02,0
VDS0023,2018-03-05,1
VDS0023,2018-03-06,0
VDS0023,2018-03-07,0
VDS0023,2018-03-08,2
VDS0023,2018-03-09,0
VDS0023,2018-03-12,1
VDS0023,2018-03-13,0
VDS0023,2018-03-14,0
VDS0023,2018-03-15,2
VDS0023,2018-03-16,0
VDS0023,2018-03-19,2
VDS0023,2018-03-20,1
VDS0023,2018-03-21,2
VDS0023,2018-03-22,1
VDS0023,2018-03-23,0
VDS0023,2018-03-26,0
VDS0023,2018-03-27,1
VDS0023,2018-03-28,0
VDS0023,2018-03-29,0
VDS0023,2018-03-30,0
VDS0023,2018-04-02,0
VDS0023,2018-04-03,0
VDS0023,2018-04-04,2
VDS0023,2018-04-05,1
VDS0023,2018-04-06,2
VDS0023,2018-04-09,0
VDS0023,2018-04-10,0
VDS0023,2018-04-11,2
VDS0023,2018-04-12,0
VDS0023,2018-04-13,0
VDS0023,2018-04-16,0
VDS0023,2018-04-17,0
VDS0023,2018-04-18,1
VDS0023,2018-04-19,0
VDS0023,2018-04-20,0
VDS0023,2018-04-23,2
VDS0023,2018-04-24,2
VDS0023,2018-04-25,0
VDS0023,2018-04-26,0
VDS0023,2018-04-27,0
VDS0023,2018-04-30,1
VDS0024,2018-02-01,0
VDS0024,2018-02-02,0
VDS0024,2018-02-05,0
VDS0024,2018-02-06,0
VDS0024,2018-02-07,0
VDS0024,2018-02-08,0
VDS0024,2018-02-09,0
VDS0024,2018-02-12,1
VDS0024,2018-02-13,2
VDS0024,2018-02-14,0
VDS0024,2018-02-15,0
VDS0024,2018-02-16,0
VDS0024,2018-02-19,0
VDS0024,2018-02-20,0
VDS0024,2018-02-21,0
VDS0024,2018-02-22,0
VDS0024,2018-02-23,0
VDS0024,2018-02-26,0
VDS0024,2018-02-27,0
VDS0024,2018-02-28,0
VDS0024,2018-03-01,0
VDS0024,2018-03-02,0
VDS0024,2018-03-05,0
VDS0024,2018-03-06,0
VDS0024,2018-03-07,0
VDS0024,2018-03-08,0
VDS0024,2018-03-09,0
VDS0024,2018-03-12,0
VDS0024,2018-03-13,0
VDS0024,2018-03-14,0
VDS0024,2018-03-15,0
VDS0024,2018-03-16,0
VDS0024,2018-03-19,0
VDS0024,2018-03-20,0
VDS0024,2018-03-21,0
VDS0024,2018-03-22,0
VDS0024,2018-03-23,0
VDS0024,2018-03-26,0
VDS0024,2018-03-27,0
VDS0024,2018-03-28,0
VDS0024,2018-03-29,0
VDS0024,2018-03-30,0
VDS0024,2018-04-02,0
VDS0024,2018-04-03,0
VDS0024,2018-04-04,0
VDS0024,2018-04-05,0
VDS0024,2018-04-06,0
VDS0024,2018-04-09,0
VDS0024,2018-04-10,0
VDS0024,2018-04-11,0
VDS0024,2018-04-12,0
VDS0024,2018-04-13,0
VDS0024,2018-04-16,0
VDS0024,2018-04-17,0
VDS0024,2018-04-18,0
VDS0024,2018-04-19,0
VDS0024,2018-04-20,0
VDS0024,2018-04-23,0
VDS0024,2018-04-24,0
VDS0024,2018-04-25,0
VDS0024,2018-04-26,0
VDS0024,2018-04-27,0
VDS0024,2018-04-30,0
VDS0025,2018-02-01,0
VDS0025,2018-02-02,0
VDS0025,2018-02-05,0
VDS0025,2018-02-06,0
VDS0025,2018-02-07,0
VDS0025,2018-02-08,0
VDS0025,2018-02-09,0
VDS0025,2018-02-12,2
VDS0025,2018-02-13,2
VDS0025,2018-02-14,0
VDS0025,2018-02-15,0
VDS0025,2018-02-16,0
VDS0025,2018-02-19,0
VDS0025,2018-02-20,0
VDS0025,2018-02-21,0
VDS0025,2018-02-22,0
VDS0025,2018-02-23,0
VDS0025,2018-02-26,0
VDS0025,2018-02-27,0
VDS0025,2018-02-28,0
VDS0025,2018-03-01,0
VDS0025,2018-03-02,0
VDS0025,2018-03-05,0
VDS0025,2018-03-06,0
VDS0025,2018-03-07,0
VDS0025,2018-03-08,0
VDS0025,2018-03-09,0
VDS0025,2018-03-12,0
VDS0025,2018-03-13,0
VDS0025,2018-03-14,0
VDS0025,2018-03-15,0
VDS0025,2018-03-16,0
VDS0025,2018-03-19,0
VDS0025,2018-03-20,0
VDS0025,2018-03-21,0
VDS0025,2018-03-22,0
VDS0025,2018-03-23,0
VDS0025,2018-03-26,0
VDS0025,2018-03-27,0
VDS0025,2018-03-28,0
VDS0025,2018-03-29,0
VDS0025,2018-03-30,0
VDS0025,2018-04-02,0
VDS0025,2018-04-03,0
VDS0025,2018-04-04,0
VDS0025,2018-04-05,0
VDS0025,2018-04-06,0
VDS0025,2018-04-09,0
VDS0025,2018-04-10,0
VDS0025,2018-04-11,0
VDS0025,2018-04-12,0
VDS0025,2018-04-13,0
VDS0025,2018-04-16,0
VDS0025,2018-04-17,0
VDS0025,2018-04-18,0
VDS0025,2018-04-19,0
VDS0025,2018-04-20,0
VDS0025,2018-04-23,0
VDS0025,2018-04-24,0
VDS0025,2018-04-25,0
VDS0025,2018-04-26,0
VDS0025,2018-04-27,0
VDS0025,2018-04-30,0
VDS0026,2018-02-01,0
VDS0026,2018-02-02,0
VDS0026,2018-02-05,0
VDS0026,2018-02-06,0
VDS0026,2018-02-07,0
VDS0026,2018-02-08,0
VDS0026,2018-02-09,0
VDS0026,2018-02-12,0
VDS0026,2018-02-13,0
VDS0026,2018-02-14,0
VDS0026,2018-02-15,0
VDS0026,2018-02-16,0
VDS0026,2018-02-19,0
VDS0026,2018-02-20,0
VDS0026,2018-02-21,0
VDS0026,2018-02-22,0
VDS0026,2018-02-23,0
VDS0026,2018-02-26,0
VDS0026,2018-02-27,0
VDS0026,2018-02-28,0
VDS0026,2018-03-01,0
VDS0026,2018-03-02,0
VDS0026,2018-03-05,0
VDS0026,2018-03-06,0
VDS0026,2018-03-07,0
VDS0026,2018-03-08,2
VDS0026,2018-03-09,0
VDS0026,2018-03-12,0
VDS0026,2018-03-13,0
VDS0026,2018-03-14,0
VDS0026,2018-03-15,0
VDS0026,2018-03-16,0
VDS0026,2018-03-19,0
VDS0026,2018-03-20,0
VDS0026,2018-03-21,0
VDS0026,2018-03-22,0
VDS0026,2018-03-23,0
VDS0026,2018-03-26,0
VDS0026,2018-03-27,0
VDS0026,2018-03-28,0
VDS0026,2018-03-29,0
VDS0026,2018-03-30,0
VDS0026,2018-04-02,0
VDS0026,2018-04-03,0
VDS0026,2018-04-04,0
VDS0026,2018-04-05,0
VDS0026,2018-04-06,0
VDS0026,2018-04-09,0
VDS0026,2018-04-10,0
VDS0026,2018-04-11,0
VDS0026,2018-04-12,0
VDS0026,2018-04-13,0
VDS0026,2018-04-16,0
VDS0026,2018-04-17,0
VDS0026,2018-04-18,0
VDS0026,2018-04-19,0
VDS0026,2018-04-20,0
VDS0026,2018-04-23,0
VDS0026,2018-04-24,0
VDS0026,2018-04-25,0
VDS0026,2018-04-26,0
VDS0026,2018-04-27,0
VDS0026,2018-04-30,0
VDS0027,2018-02-01,0
VDS0027,2018-02-02,0
VDS0027,2018-02-05,0
VDS0027,2018-02-06,0
VDS0027,2018-02-07,2
VDS0027,2018-02-08,0
VDS0027,2018-02-09,0
VDS0027,2018-02-12,0
VDS0027,2018-02-13,2
VDS0027,2018-02-14,0
VDS0027,2018-02-15,0
VDS0027,2018-02-16,0
VDS0027,2018-02-19,0
VDS0027,2018-02-20,0
VDS0027,2018-02-21,0
VDS0027,2018-02-22,0
VDS0027,2018-02-23,0
VDS0027,2018-02-26,0
VDS0027,2018-02-27,0
VDS0027,2018-02-28,0
VDS0027,2018-03-01,0
VDS0027,2018-03-02,0
VDS0027,2018-03-05,0
VDS0027,2018-03-06,0
VDS0027,2018-03-07,0
VDS0027,2018-03-08,0
VDS0027,2018-03-09,0
VDS0027,2018-03-12,0
VDS0027,2018-03-13,0
VDS0027,2018-03-14,0
VDS0027,2018-03-15,0
VDS0027,2018-03-16,0
VDS0027,2018-03-19,0
VDS0027,2018-03-20,0
VDS0027,2018-03-21,0
VDS0027,2018-03-22,0
VDS0027,2018-03-23,0
VDS0027,2018-03-26,0
VDS0027,2018-03-27,0
VDS0027,2018-03-28,0
VDS0027,2018-03-29,0
VDS0027,2018-03-30,0
VDS0027,2018-04-02,0
VDS0027,2018-04-03,0
VDS0027,2018-04-04,0
VDS0027,2018-04-05,0
VDS0027,2018-04-06,0
VDS0027,2018-04-09,0
VDS0027,2018-04-10,0
VDS0027,2018-04-11,0
VDS0027,2018-04-12,0
VDS0027,2018-04-13,0
VDS0027,2018-04-16,0
VDS0027,2018-04-17,0
VDS0027,2018-04-18,0
VDS0027,2018-04-19,0
VDS0027,2018-04-20,0
VDS0027,2018-04-23,0
VDS0027,2018-04-24,0
VDS0027,2018-04-25,0
VDS0027,2018-04-26,0
VDS0027,2018-04-27,0
VDS0027,2018-04-30,0
VDS0028,2018-02-01,0
VDS0028,2018-02-02,0
VDS0028,2018-02-05,0
VDS0028,2018-02-06,0
VDS0028,2018-02-07,2
VDS0028,2018-02-08,0
VDS0028,2018-02-09,0
VDS0028,2018-02-12,2
VDS0028,2018-02-13,0
VDS0028,2018-02-14,0
VDS0028,2018-02-15,0
VDS0028,2018-02-16,1
VDS0028,2018-02-19,0
VDS0028,2018-02-20,0
VDS0028,2018-02-21,0
VDS0028,2018-02-22,0
VDS0028,2018-02-23,0
VDS0028,2018-02-26,0
VDS0028,2018-02-27,0
VDS0028,2018-02-28,0
VDS0028,2018-03-01,1
VDS0028,2018-03-02,0
VDS0028,2018-03-05,0
VDS0028,2018-03-06,0
VDS0028,2018-03-07,0
VDS0028,2018-03-08,0
VDS0028,2018-03-09,0
VDS0028,2018-03-12,0
VDS0028,2018-03-13,0
VDS0028,2018-03-14,0
VDS0028,2018-03-15,0
VDS0028,2018-03-16,0
VDS0028,2018-03-19,0
VDS0028,2018-03-20,0
VDS0028,2018-03-21,0
VDS0028,2018-03-22,0
VDS0028,2018-03-23,0
VDS0028,2018-03-26,0
VDS0028,2018-03-27,0
VDS0028,2018-03-28,0
VDS0028,2018-03-29,0
VDS0028,2018-03-30,0
VDS0028,2018-04-02,0
VDS0028,2018-04-03,0
VDS0028,2018-04-04,0
VDS0028,2018-04-05,0
VDS0028,2018-04-06,0
VDS0028,2018-04-09,0
VDS0028,2018-04-10,0
VDS0028,2018-04-11,2
VDS0028,2018-04-12,0
VDS0028,2018-04-13,1
VDS0028,2018-04-16,0
VDS0028,2018-04-17,0
VDS0028,2018-04-18,0
VDS0028,2018-04-19,0
VDS0028,2018-04-20,0
VDS0028,2018-04-23,0
VDS0028,2018-04-24,0
VDS0028,2018-04-25,0
VDS0028,2018-04-26,0
VDS0028,2018-04-27,0
VDS0028,2018-04-30,0
VDS0029,2018-02-01,0
VDS0029,2018-02-02,0
VDS0029,2018-02-05,0
VDS0029,2018-02-06,0
VDS0029,2018-02-07,0
VDS0029,2018-02-08,0
VDS0029,2018-02-09,0
VDS0029,2018-02-12,2
VDS0029,2018-02-13,2
VDS0029,2018-02-14,0
VDS0029,2018-02-15,0
VDS0029,2018-02-16,0
VDS0029,2018-02-19,0
VDS0029,2018-02-20,0
VDS0029,2018-02-21,0
VDS0029,2018-02-22,0
VDS0029,2018-02-23,1
VDS0029,2018-02-26,0
VDS0029,2018-02-27,0
VDS0029,2018-02-28,0
VDS0029,2018-03-01,1
VDS0029,2018-03-02,0
VDS0029,2018-03-05,0
VDS0029,2018-03-06,0
VDS0029,2018-03-07,0
VDS0029,2018-03-08,1
VDS0029,2018-03-09,0
VDS0029,2018-03-12,0
VDS0029,2018-03-13,0
VDS0029,2018-03-14,0
VDS0029,2018-03-15,0
VDS0029,2018-03-16,0
VDS0029,2018-03-19,0
VDS0029,2018-03-20,0
VDS0029,2018-03-21,1
VDS0029,2018-03-22,1
VDS0029,2018-03-23,0
VDS0029,2018-03-26,0
VDS0029,2018-03-27,0
VDS0029,2018-03-28,0
VDS0029,2018-03-29,0
VDS0029,2018-03-30,0
VDS0029,2018-04-02,0
VDS0029,2018-04-03,0
VDS0029,2018-04-04,0
VDS0029,2018-04-05,0
VDS0029,2018-04-06,0
VDS0029,2018-04-09,0
VDS0029,2018-04-10,0
VDS0029,2018-04-11,0
VDS0029,2018-04-12,0
VDS0029,2018-04-13,0
VDS0029,2018-04-16,0
VDS0029,2018-04-17,0
VDS0029,2018-04-18,0
VDS0029,2018-04-19,0
VDS0029,2018-04-20,0
VDS0029,2018-04-23,0
VDS0029,2018-04-24,0
VDS0029,2018-04-25,0
VDS0029,2018-04-26,0
VDS0029,2018-04-27,0
VDS0029,2018-04-30,0
VDS0030,2018-02-01,0
VDS0030,2018-02-02,0
VDS0030,2018-02-05,0
VDS0030,2018-02-06,0
VDS0030,2018-02-07,0
VDS0030,2018-02-08,0
VDS0030,2018-02-09,0
VDS0030,2018-02-12,2
VDS0030,2018-02-13,1
VDS0030,2018-02-14,0
VDS0030,2018-02-15,0
VDS0030,2018-02-16,1
VDS0030,2018-02-19,0
VDS0030,2018-02-20,0
VDS0030,2018-02-21,0
VDS0030,2018-02-22,0
VDS0030,2018-02-23,0
VDS0030,2018-02-26,0
VDS0030,2018-02-27,0
VDS0030,2018-02-28,0
VDS0030,2018-03-01,0
VDS0030,2018-03-02,0
VDS0030,2018-03-05,0
VDS0030,2018-03-06,0
VDS0030,2018-03-07,0
VDS0030,2018-03-08,0
VDS0030,2018-03-09,0
VDS0030,2018-03-12,0
VDS0030,2018-03-13,0
VDS0030,2018-03-14,0
VDS0030,2018-03-15,0
VDS0030,2018-03-16,0
VDS0030,2018-03-19,0
VDS0030,2018-03-20,0
VDS0030,2018-03-21,0
VDS0030,2018-03-22,0
VDS0030,2018-03-23,0
VDS0030,2018-03-26,0
VDS0030,2018-03-27,0
VDS0030,2018-03-28,0
VDS0030,2018-03-29,0
VDS0030,2018-03-30,0
VDS0030,2018-04-02,0
VDS0030,2018-04-03,0
VDS0030,2018-04-04,0
VDS0030,2018-04-05,0
VDS0030,2018-04-06,0
VDS0030,2018-04-09,0
VDS0030,2018-04-10,0
VDS0030,2018-04-11,0
VDS0030,2018-04-12,0
VDS0030,2018-04-13,0
VDS0030,2018-04-16,0
VDS0030,2018-04-17,0
VDS0030,2018-04-18,0
VDS0030,2018-04-19,0
VDS0030,2018-04-20,0
VDS0030,2018-04-23,0
VDS0030,2018-04-24,0
VDS0030,2018-04-25,0
VDS0030,2018-04-26,0
VDS0030,2018-04-27,0
VDS0030,2018-04-30,0
VDS0031,2018-02-01,0
VDS0031,2018-02-02,0
VDS0031,2018-02-05,0
VDS0031,2018-02-06,0
VDS0031,2018-02-07,2
VDS0031,2018-02-08,0
VDS0031,2018-02-09,0
VDS0031,2018-02-12,2
VDS0031,2018-02-13,2
VDS0031,2018-02-14,0
VDS0031,2018-02-15,0
VDS0031,2018-02-16,0
VDS0031,2018-02-19,0
VDS0031,2018-02-20,0
VDS0031,2018-02-21,0
VDS0031,2018-02-22,0
VDS0031,2018-02-23,0
VDS0031,2018-02-26,0
VDS0031,2018-02-27,0
VDS0031,2018-02-28,0
VDS0031,2018-03-01,1
VDS0031,2018-03-02,0
VDS0031,2018-03-05,1
VDS0031,2018-03-06,2
VDS0031,2018-03-07,0
VDS0031,2018-03-08,0
VDS0031,2018-03-09,0
VDS0031,2018-03-12,0
VDS0031,2018-03-13,0
VDS0031,2018-03-14,0
VDS0031,2018-03-15,0
VDS0031,2018-03-16,0
VDS0031,2018-03-19,1
VDS0031,2018-03-20,0
VDS0031,2018-03-21,1
VDS0031,2018-03-22,0
VDS0031,2018-03-23,0
VDS0031,2018-03-26,0
VDS0031,2018-03-27,0
VDS0031,2018-03-28,0
VDS0031,2018-03-29,0
VDS0031,2018-03-30,0
VDS0031,2018-04-02,0
VDS0031,2018-04-03,0
VDS0031,2018-04-04,0
VDS0031,2018-04-05,0
VDS0031,2018-04-06,1
VDS0031,2018-04-09,0
VDS0031,2018-04-10,0
VDS0031,2018-04-11,1
VDS0031,2018-04-12,0
VDS0031,2018-04-13,0
VDS0031,2018-04-16,0
VDS0031,2018-04-17,0
VDS0031,2018-04-18,0
VDS0031,2018-04-19,0
VDS0031,2018-04-20,0
VDS0031,2018-04-23,1
VDS0031,2018-04-24,1
VDS0031,2018-04-25,0
VDS0031,2018-04-26,0
VDS0031,2018-04-27,0
VDS0031,2018-04-30,0
VDS0032,2018-02-01,0
VDS0032,2018-02-02,0
VDS0032,2018-02-05,0
VDS0032,2018-02-06,1
VDS0032,2018-02-07,0
VDS0032,2018-02-08,0
VDS0032,2018-02-09,0
VDS0032,2018-02-12,1
VDS0032,2018-02-13,1
VDS0032,2018-02-14,0
VDS0032,2018-02-15,0
VDS0032,2018-02-16,1
VDS0032,2018-02-19,1
VDS0032,2018-02-20,0
VDS0032,2018-02-21,0
VDS0032,2018-02-22,0
VDS0032,2018-02-23,0
VDS0032,2018-02-26,0
VDS0032,2018-02-27,0
VDS0032,2018-02-28,0
VDS0032,2018-03-01,1
VDS0032,2018-03-02,0
VDS0032,2018-03-05,1
VDS0032,2018-03-06,0
VDS0032,2018-03-07,0
VDS0032,2018-03-08,0
VDS0032,2018-03-09,0
VDS0032,2018-03-12,0
VDS0032,2018-03-13,0
VDS0032,2018-03-14,0
VDS0032,2018-03-15,0
VDS0032,2018-03-16,0
VDS0032,2018-03-19,1
VDS0032,2018-03-20,0
VDS0032,2018-03-21,1
VDS0032,2018-03-22,1
VDS0032,2018-03-23,0
VDS0032,2018-03-26,0
VDS0032,2018-03-27,0
VDS0032,2018-03-28,0
VDS0032,2018-03-29,0
VDS0032,2018-03-30,0
VDS0032,2018-04-02,0
VDS0032,2018-04-03,0
VDS0032,2018-04-04,0
VDS0032,2018-04-05,0
VDS0032,2018-04-06,0
VDS0032,2018-04-09,0
VDS0032,2018-04-10,0
VDS0032,2018-04-11,0
VDS0032,2018-04-12,0
VDS0032,2018-04-13,0
VDS0032,2018-04-16,0
VDS0032,2018-04-17,0
VDS0032,2018-04-18,0
VDS0032,2018-04-19,0
VDS0032,2018-04-20,0
VDS0032,2018-04-23,0
VDS0032,2018-04-24,1
VDS0032,2018-04-25,0
VDS0032,2018-04-26,0
VDS0032,2018-04-27,0
VDS0032,2018-04-30,0
VDS0033,2018-02-01,1
VDS0033,2018-02-02,0
VDS0033,2018-02-05,1
VDS0033,2018-02-06,1
VDS0033,2018-02-07,1
VDS0033,2018-02-08,1
VDS0033,2018-02-09,0
VDS0033,2018-02-12,1
VDS0033,2018-02-13,1
VDS0033,2018-02-14,1
VDS0033,2018-02-15,1
VDS0033,2018-02-16,0
VDS0033,2018-02-19,1
VDS0033,2018-02-20,1
VDS0033,2018-02-21,1
VDS0033,2018-02-22,0
VDS0033,2018-02-23,0
VDS0033,2018-02-26,0
VDS0033,2018-02-27,0
VDS0033,2018-02-28,1
VDS0033,2018-03-01,0
VDS0033,2018-03-02,0
VDS0033,2018-03-05,0
VDS0033,2018-03-06,0
VDS0033,2018-03-07,1
VDS0033,2018-03-08,0
VDS0033,2018-03-09,0
VDS0033,2018-03-12,0
VDS0033,2018-03-13,0
VDS0033,2018-03-14,1
VDS0033,2018-03-15,0
VDS0033,2018-03-16,1
VDS0033,2018-03-19,0
VDS0033,2018-03-20,1
VDS0033,2018-03-21,1
VDS0033,2018-03-22,1
VDS0033,2018-03-23,0
VDS0033,2018-03-26,0
VDS0033,2018-03-27,1
VDS0033,2018-03-28,1
VDS0033,2018-03-29,1
VDS0033,2018-03-30,0
VDS0033,2018-04-02,0
VDS0033,2018-04-03,1
VDS0033,2018-04-04,1
VDS0033,2018-04-05,1
VDS0033,2018-04-06,0
VDS0033,2018-04-09,0
VDS0033,2018-04-10,1
VDS0033,2018-04-11,1
VDS0033,2018-04-12,1
VDS0033,2018-04-13,0
VDS0033,2018-04-16,0
VDS0033,2018-04-17,1
VDS0033,2018-04-18,1
VDS0033,2018-04-19,1
VDS0033,2018-04-20,0
VDS0033,2018-04-23,0
VDS0033,2018-04-24,1
VDS0033,2018-04-25,1
VDS0033,2018-04-26,1
VDS0033,2018-04-27,0
VDS0033,2018-04-30,0
VDS0034,2018-02-01,0
VDS0034,2018-02-02,0
VDS0034,2018-02-05,0
VDS0034,2018-02-06,0
VDS0034,2018-02-07,0
VDS0034,2018-02-08,0
VDS0034,2018-02-09,0
VDS0034,2018-02-12,2
VDS0034,2018-02-13,2
VDS0034,2018-02-14,0
VDS0034,2018-02-15,0
VDS0034,2018-02-16,0
VDS0034,2018-02-19,0
VDS0034,2018-02-20,0
VDS0034,2018-02-21,0
VDS0034,2018-02-22,0
VDS0034,2018-02-23,0
VDS0034,2018-02-26,0
VDS0034,2018-02-27,0
VDS0034,2018-02-28,0
VDS0034,2018-03-01,0
VDS0034,2018-03-02,0
VDS0034,2018-03-05,0
VDS0034,2018-03-06,0
VDS0034,2018-03-07,0
VDS0034,2018-03-08,0
VDS0034,2018-03-09,0
VDS0034,2018-03-12,0
VDS0034,2018-03-13,0
VDS0034,2018-03-14,0
VDS0034,2018-03-15,0
VDS0034,2018-03-16,0
VDS0034,2018-03-19,0
VDS0034,2018-03-20,0
VDS0034,2018-03-21,0
VDS0034,2018-03-22,0
